ID	x	y
S01493	51.0472	2.4892
S01505	128.9148	110.7819
S02154	3.5514	143.7995
S00640	122.0075	94.22799
S01494	130.5832	114.783
S01541	4.9985	41.6058
S01540	4.1555	143.5667
S01499	129.0095	111.863
S00094	8.6383	38.7542
S00550	98.9241	110.0483
S01546	5.1803	42.0818
S01792	132.0217	115.502
S00016	3.9052	144.728
S02288	98.4614	110.8835
S02287	129.756	114.363
S01501	3.0855	144.7756
S02285	131.9263	117.0738
S02284	130.8525	115.1381
S02163	130.2492	116.6867
S01496	126.2288	105.57487
S00796	102.3968	108.1907
S00795	125.6803	104.96502
S00794	126.5043	109.0973
S00793	132.5146	115.7923
S00791	121.5773	93.94698
S00790	124.1522	100.14011
S00799	122.0981	97.547994
LNEN002	51.1074	1.827
LNEN003	2.7587	43.8973
LNEN006	6.4257	41.1436
LNEN007	52.9636	0.1249
LNEN004	3.0551	43.432
LNEN005	121.4181	98.90879
LNEN008	50.5476	2.066
LNEN009	51.7514	1.7913
S01318	120.3807	94.54483
LNEN011	1.3455	44.5308
S02331	4.7018	144.5612
S02323	52.0759	1.1766
S02065	133.0957	118.1067
S01468	121.7151	93.18739
S01545	3.5476	142.5076
S00567	99.895	109.3349
S02236	99.6072	111.1753
S02139	129.5624	115.5216
S01742	3.2175	144.1514
S01707	123.4107	89.19071
S01060	4.3848	144.6148
S00832	132.4072	117.61
S02339	2.306	43.8531
S02126	3.5886	145.2115
S00396	103.0689	108.1613
S02209	99.0112	110.5236
S02289	131.2881	117.17
S01202	52.439	0.2965
S00472	131.4463	115.6569
S02286	99.7968	110.0424
S00076	3.6564	145.7932
S00716_A	52.9792	0.6787
S02297	3.4498	146.121
S02194	127.5838	112.0614
S02249	129.1181	111.3734
S01698	130.3639	113.8405
S01574	124.1388	91.54722
S02271	116.0888	103.62319
S01572	2.5723	145.8012
S01573	3.769	144.4316
S01453	132.5316	118.2228
S01666	50.0842	2.1221
S00400	122.7714	91.5667
S01578	131.3386	115.988
S00089	46.4882	5.9612
S01517	124.8132	86.8967
S01543	3.4056	144.5584
S01515	3.5298	143.4745
S01513	122.8045	92.56076
S01510	49.87	2.7554
S01511	114.6332	101.58543
S00613	117.6212	105.32372
S01605	2.1938	45.0722
S01518	116.4478	99.72062
S01519	3.8043	144.9653
S02243	132.2782	115.0449
S02325	50.1451	2.3661
S00711	119.726	94.8507
S02242	130.5646	112.8577
S00581	125.4659	84.1867
S00587	123.7937	100.0427
S00584	98.7421	111.3152
S01563	129.6534	112.198
S01567	50.5562	2.6018
S02264	110.1185	104.26695
S02267	124.2367	86.1622
S00570	120.4994	95.94312
S02269	96.9936	112.0927
S02268	121.153	93.49304
S02093	128.0353	109.4228
S00609	97.877	110.8304
S00608	124.7158	85.8099
S00725	125.4534	85.5258
S00050	130.9465	116.3546
S01502	2.5327	145.2938
S00602	4.0002	145.3346
S01508	97.4173	111.2606
S02326	1.0404	45.1019
S02327	4.0912	144.2301
S01556	103.7948	112.4215
S02229	131.6924	116.2495
S01544	117.7237	100.60546
S00118	39.353	11.8458
S00858	2.071	44.2549
S00694	130.2195	116.1841
S02272	121.5576	95.08751
S02265	109.7368	104.80146
S02266	125.7665	85.015
S01763	123.1471	101.49692
S00501	129.5762	112.0189
S02259	124.3216	89.16417
S01593	2.6465	44.1595
S01590	4.1251	142.9139
S01531	0.1262	45.1817
S01532	1.6258	44.6239
S01533	124.6409	87.0838
S01535	124.0817	89.70947
S00733	122.4286	93.54461
S00732	102.703	108.7059
LNEN020	52.4591	0.0
S01539	5.7967	41.5488
S00739	124.7061	103.94239
S02328	125.6214	106.72861
S02336	121.7203	91.57449
S01521	0.9524	44.8446
S00128	2.2269	144.9955
S01731	5.5749	41.1881
S01103	0.7293	45.0633
S01407	99.3783	109.7014
S01504	2.2651	144.6145
S02120	132.8726	117.3551
S00515	0.1337	44.3225
S00517	123.5319	88.57397
S00516	0.9888	45.4732
S01585	0.0	45.9945
S01584	1.5749	45.4227
S02241	132.1655	116.1301
S01586	123.1444	91.25036
S01581	130.7768	113.2671
S01580	123.5678	93.04594
S01583	0.3579	45.9496
S01582	0.0837	44.7557
S01242	130.8771	114.077
S01529	4.4256	42.2997
S01528	3.4493	144.037
S01526	0.6828	45.6323
S01524	129.7737	112.7386
S01733	4.3571	143.2229
S01248	130.3744	113.0459
S01520	3.444	145.4642
S02261	112.2225	104.5248
S01536	3.8989	143.5853
S00716_B	52.133	0.7689
S01537	1.36	43.9532
S00713	123.435	93.77144
S02340	2.5788	143.5476
S02337	2.8049	144.1733
S01538	1.1476	45.9842
S02335	2.813	144.9161
S02334	1.7803	44.0801
S02333	3.6154	143.0243
S00529	122.0183	91.43339
S00838	129.0132	113.1756
S02330	3.075	144.4487
S00836	131.4387	114.7376
S00837	99.544	110.7616
S00520	52.7963	0.7972
S01746	2.4994	144.3026
S00830	129.8098	113.6831
S02338	1.4332	44.8961
S01728	131.3959	113.811
S00718	111.9102	103.60366
S00714	115.36	104.92502
S01093	130.1833	112.4573
S00712	98.2417	111.646
S00540	124.1155	96.17035
S00710	131.9532	116.5209
S02290	129.0975	113.8467
S02291	128.7289	111.4547
S02293	127.3738	114.6049
S02294	129.2657	115.1285
S02295	131.9306	116.7294
S02296	97.8048	110.9743
S00022	131.663	117.6217
S02298	117.5298	102.33178
S02299	126.797	105.60863
S00531	110.4683	103.30901
LNEN015	52.0211	0.5164
LNEN014	51.5728	1.2255
LNEN017	51.4165	2.2676
LNEN016	0.629	44.5835
S00829	98.1508	111.3547
LNEN010	52.545	0.5058
LNEN013	4.4094	145.4622
LNEN012	120.0605	103.28721
S00825	128.1501	109.0487
S00827	132.3518	117.1187
LNEN019	4.069	145.9123
LNEN018	5.9967	40.8512
S02162	3.3557	144.941
S00534	122.3421	91.96556
