ID	x	y
S01493	55.2908274286	159.598943906
S01505	273.511001044	88.1188543594
S02154	105.127589989	78.1425521743
S00640	283.593709221	169.832431911
S01494	213.625906027	66.3409369677
S01541	122.442230837	172.126772451
S01540	98.0599942651	45.5770089081
S01499	264.263445549	80.4325399585
S00094	37.729912117	142.057798568
S00550	293.35672445	173.522636665
S01546	78.9865538785	164.737477045
S01792	228.772487841	31.8033165788
S00016	102.280234885	16.5300020444
S02288	289.474028693	149.035495529
S02287	247.384529093	44.0917148452
S01501	98.7626768851	29.3803996573
S02285	212.551503964	35.5706939189
S02284	253.40006613	35.8376985273
S02163	223.542913899	20.6810529266
S01496	279.223628717	115.013267629
S00796	272.748559927	185.231753678
S00795	272.251273937	120.269337255
S00794	257.160663841	120.729793365
S00793	218.000725063	42.8323642366
S00791	296.248690446	168.825674935
S00790	281.421739541	131.098363828
S00799	256.382274072	168.52106005
LNEN002	57.2936585833	164.112117519
LNEN003	15.5574141786	152.766715913
LNEN006	77.3565975823	151.604779708
LNEN007	44.1443078168	165.284383188
LNEN004	27.7396319359	148.10010536
LNEN005	240.108629183	192.674721081
LNEN008	41.8366298216	156.108960933
LNEN009	135.585609929	154.722066639
S01318	262.8133601	211.458456609
LNEN011	35.4207405928	133.56436895
S02331	109.137810376	23.5161950964
S02323	85.3470123969	175.905743146
S02065	223.069690731	23.5649166672
S01468	291.888299393	199.58942556
S01545	62.703863648	44.6621842164
S00567	268.506633584	173.342957206
S02236	264.676940958	159.869898159
S02139	223.725122744	52.0519136819
S01742	127.894535489	44.5867998427
S01707	250.516812744	158.152056894
S01060	55.8780342148	27.7070576661
S00832	236.59677392	21.2199273463
S02339	71.7000704648	148.213203499
S02126	150.661433911	0.91991016782
S00396	275.891506779	197.361664831
S02209	282.386117822	158.51894566
S02289	230.367349068	13.193180444
S01202	47.0230770858	161.544614412
S00472	240.035020414	40.437511228
S02286	285.944384005	151.799088015
S00076	160.56661976	36.0331103422
S00716_A	78.8818131115	162.861606814
S02297	191.380536435	17.5765944148
S02194	229.134048064	82.9363663979
S02249	269.694133188	77.3630435319
S01698	263.786872384	47.7229348705
S01574	245.097595626	138.17573077
S02271	231.15181463	127.520242883
S01572	88.7738065388	39.4967375396
S01573	111.869565956	30.3763179937
S01453	231.120364594	14.1178640031
S01666	50.6049277537	142.151327631
S00400	278.347167704	160.472411814
S01578	232.915045598	36.6678060085
S00089	66.3821101217	83.618453198
S01517	247.856032313	141.132612655
S01543	85.9185449099	60.7353410944
S01515	111.836329685	81.8915908732
S01513	181.917289684	137.564380883
S01510	57.8511451316	145.512244288
S01511	245.157956434	192.71990126
S00613	235.518166304	137.449569355
S01605	31.9157997774	146.423111243
S01518	264.988041704	213.609332236
S01519	83.0720415417	14.1247347772
S02243	247.614127097	28.3398718195
S02325	39.8073953007	164.220737759
S00711	259.83852747	196.585196308
S02242	241.540138764	48.3429113311
S00581	225.430888267	144.7011984
S00587	280.79119856	136.544646889
S00584	263.194306496	168.394941264
S01563	268.636505413	74.1306213483
S01567	121.214558715	155.879833979
S02264	277.028679543	178.87782934
S02267	241.61714853	122.040680435
S00570	268.086686513	191.395953336
S02269	280.293405131	126.514141976
S02268	274.723992924	167.9439233
S02093	281.517192841	77.4626317816
S00609	280.584170529	154.133763776
S00608	202.497745607	111.239221383
S00725	218.040968794	109.664688248
S00050	224.060741636	2.08524346245
S01502	99.8377300862	35.293712826
S02322	236.576102731	46.7719486234
S00602	137.538129124	34.1322293586
S01508	287.162272305	164.171502631
S02326	27.988556899	157.017956834
S02327	110.740046186	51.1690269673
S01556	229.416640926	87.5984680237
S02229	252.538227644	24.7962705647
S01544	271.386549218	162.721812395
S00118	72.5457133113	90.9045865541
S00858	30.8175461428	139.362461208
S00694	228.400134134	24.3787067881
S02272	290.743137346	164.42727911
S02265	289.148887371	169.639300608
S02266	225.588574367	105.798849945
S01763	291.745397924	138.538870709
S00501	264.894197483	79.6453363557
S02259	264.198654254	156.480566034
S01593	13.634639185	159.068734559
S01590	101.445607176	56.8163300939
S01531	35.4085386167	145.667462752
S01532	0.0	140.545581623
S01533	257.892615059	159.694834895
S01535	248.737039501	133.660180023
S00733	242.081500764	137.290518016
S00732	270.411229337	169.021668387
LNEN020	115.959710206	174.0613964
S01539	18.9454910628	144.653673139
S00739	264.646100705	142.550365144
S02328	289.088392302	114.171615987
S02336	257.572143219	161.998698393
S01521	26.6060587722	140.335916612
S00128	117.919549918	76.3641882179
S01731	48.2498345609	135.787179165
S01103	23.8453476587	121.583699295
S01407	282.604409589	179.324277473
S01504	134.166227196	39.5459575416
S02120	237.489487511	55.176943018
S00515	57.0628541873	135.112011541
S00517	215.776272206	128.699145623
S00516	47.4297135023	143.290008543
S01585	41.1162170052	141.370537729
S01584	10.4693121145	146.857552366
S02241	211.462029295	24.1910903765
S01586	267.214333456	156.546095574
S01581	237.86231755	70.3017749753
S01580	264.76353804	151.753760482
S01583	14.8194883956	125.299181421
S01582	23.8361944185	148.548600192
S01242	256.28045114	47.6572019882
S01529	12.7332214586	150.469158851
S01528	80.0344694073	27.6879408142
S01526	8.90471352972	145.935114625
S01524	239.107313311	53.7954047169
S01733	63.6677658887	49.3695281761
S01248	256.251569638	63.9733949604
S01520	131.550061746	52.8909541394
S02261	272.548077145	129.24713887
S01536	68.0308442796	23.9368145384
S00716_B	69.0569621145	173.457426774
S01537	12.2014148471	146.064227425
S00713	252.217599207	146.915187915
S02340	164.753754354	72.239369673
S02337	88.6475814362	54.6015996053
S01538	19.7888662128	144.80346825
S02335	102.901151779	29.4897904918
S02334	11.1483028015	143.084018066
S02333	66.8282607163	39.6078702202
S00529	263.158283032	157.851875619
S00838	247.585476828	56.4656027387
S02330	110.708814969	49.8968088581
S00836	249.27505632	47.1560925247
S00837	288.285208421	156.293722261
S00520	73.2411020573	167.406990406
S01746	107.713984695	48.9277277273
S00830	252.989373525	38.9137430183
S02338	26.8239442742	132.912700413
S01728	242.388652425	57.04921679
S00718	273.185434381	182.283906588
S00714	274.435780898	110.102213891
S01093	258.211443431	69.5552317524
S00712	266.284433651	113.900449935
S00540	254.058338317	134.808906398
S00710	231.515205278	22.9515299545
S02290	253.237865655	66.2605233838
S02291	275.523765542	85.7930499538
S02293	237.369060878	25.045179376
S02294	233.00928371	24.6910921853
S02295	213.897315843	29.5257825174
S02296	292.023116946	149.396410281
S00022	211.354769918	0.0
S02298	236.095585225	125.393423189
S02299	291.753258005	115.180592155
S00531	268.362978008	196.94775742
LNEN015	72.4576138064	163.521885713
LNEN014	56.061893063	152.373076466
LNEN017	119.821163497	164.491229078
LNEN016	97.7136344629	152.170426222
S00829	272.554861178	120.59993411
LNEN010	55.6308412185	174.762145572
LNEN013	126.652233234	33.2961786976
LNEN012	209.915927319	160.067413199
S00825	262.125931165	79.93954256
S00827	237.324589181	17.9971718899
LNEN019	131.267836592	39.9245084575
LNEN018	67.557226247	143.55400085
S02162	162.353311162	43.8985926552
S00534	252.949939273	187.289257593
